Date,Open,High,Low,Volume,Close
11/7/2023,111.86,114.65,111.22,50550150,113.45
11/6/2023,112.6,113.08,110.22,49270370,111.75
11/3/2023,109.05,113.39,107.86,65632200,112.25
11/2/2023,107.96,109.405,105.91,71376950,107.83
11/1/2023,98.58,108.15,98.5,138641500,108.04
10/31/2023,96.235,98.8188,94.07,79547130,98.5
10/30/2023,96.14,97.04,94.7,43716640,96.18
10/27/2023,95.8,97.35,94.59,52458650,96.43
10/26/2023,95.99,97.52,93.115,49896360,93.67
10/25/2023,100.42,101.03,95.23,53424480,96.055
10/24/2023,100.97,101.7899,99.38,51982920,101.67
10/23/2023,100.812,102.42,99.315,50817440,100.01
10/20/2023,102.28,104.34,101.44,61317930,101.81
10/19/2023,103.81,105.6,101.84,52734200,102.4
10/18/2023,103.38,104.78,101.74,50449950,102.17
10/17/2023,103.54,106.29,101.6601,49642110,105.14
10/16/2023,105.42,107.48,105.03,42464510,106.46
10/13/2023,108.65,108.97,104.75,52925930,105.09
10/12/2023,108.4,111.31,107.5101,60959430,108.79
10/11/2023,109.14,110.1,106.93,51085640,108.31
10/10/2023,107.49,110.12,106.4,57105530,109.01
10/9/2023,106.01,107.31,104.79,39593190,106.97
10/6/2023,102.16,107.87,102.03,64864080,107.24
10/5/2023,103.405,103.74,100.27,51789730,102.91
10/4/2023,100.65,104.4,100.34,51023250,104.07
10/3/2023,101.796,103.29,99.17,48116980,100.08
10/2/2023,102.21,103.71,101.7,45118570,103.27
9/29/2023,104.69,104.94,102.56,56078640,102.82
9/28/2023,97.94,104.2,97.76,72542060,102.76
9/27/2023,96.82,99.23,96.35,51261500,98.07
9/26/2023,96.5,97.83,95.27,42866460,95.96
9/25/2023,95.95,97.45,94.46,43223750,97.38
9/22/2023,96.92,98.42,95.61,52169400,96.2
9/21/2023,98.6,98.87,95.84,59704340,96.11
9/20/2023,102.36,103.94,100.28,55180580,100.34
9/19/2023,101.75,102.8582,100.7,41704110,101.61
9/18/2023,100.815,102.99,99.45,49061310,102.37
9/15/2023,106.07,106.76,101.28,71103620,101.49
9/14/2023,108.43,109.1494,106.2212,45920610,106.63
9/13/2023,105.1,108.74,104.83,44702250,107.71
9/12/2023,104.2,106.74,103.18,44413570,105.31
9/11/2023,107.315,107.51,103,50611290,105.32
9/8/2023,107.02,109.737,105.75,46271560,106.09
9/7/2023,106.14,107.69,105.09,49080150,106.59
9/6/2023,110.56,111.33,108.22,47736700,109.28
9/5/2023,109,111.82,106.3,66042190,110.78
9/1/2023,107,110.06,106.61,54856150,109.45
